number,name,altitude,terrain_diff,physical_diff,length,url,region_id,lat,lng,volcano_rank,eruption_alert,hike_season_start,hike_season_end,maple_season_end,maple_season_start,snow_season_start,snow_season_end,remaining_snow_start,remaining_snow_end
6,トムラウシ山,2141,★★,★★★,1泊2日,hundred_mt_individually_data/basic_data/basic_data-006.html,2,43.527117778633,142.84879846697,,,6月下旬,9月下旬,9月中旬,8月下旬,8月下旬,9月中旬,8月下旬,9月中旬
11,八甲田山,1585,★★,★★,日帰り,hundred_mt_individually_data/basic_data/basic_data-011.html,3,40.658917183461,140.87726569449,,,6月上旬,10月下旬,10月中旬,9月中旬,9月中旬,10月中旬,9月中旬,10月中旬
15,鳥海山,2236,★★,★★,1泊2日,hundred_mt_individually_data/basic_data/basic_data-015.html,3,39.099364195911,140.04887930294,,,7月上旬,9月下旬,9月下旬,8月中旬,8月中旬,9月下旬,8月中旬,9月下旬
20,吾妻山,2035,★★,★★★,1泊2日,hundred_mt_individually_data/basic_data/basic_data-020.html,3,37.738207486202,140.1408363876,,,5月中旬,10月上旬,9月下旬,9月中旬,9月中旬,9月下旬,9月中旬,9月下旬
24,那須岳,1915,★★,★★,1泊2日,hundred_mt_individually_data/basic_data/basic_data-024.html,4,37.124833108221,139.96313047491,,,5月下旬,10月下旬,10月中旬,9月中旬,9月中旬,10月中旬,9月中旬,10月中旬
29,赤城山,1828,★,★★,日帰り,hundred_mt_individually_data/basic_data/basic_data-029.html,6,36.56039982181,139.19329846698,,,4月下旬,11月上旬,10月中旬,9月中旬,9月中旬,10月中旬,9月中旬,10月中旬
34,平ヶ岳,2141,★,★★★,1泊2日,hundred_mt_individually_data/basic_data/basic_data-034.html,9,37.002096232891,139.17092604104,,,7月上旬,10月上旬,9月下旬,9月中旬,9月中旬,9月下旬,9月中旬,9月下旬
39,妙高山,2454,★★,★★,1泊2日,hundred_mt_individually_data/basic_data/basic_data-039.html,9,36.892742177441,138.11319382941,,,7月上旬,10月上旬,10月中旬,9月中旬,9月中旬,10月中旬,9月中旬,10月中旬
2,羅臼岳,1661,★★,★★,前夜泊日帰り,hundred_mt_individually_data/basic_data/basic_data-002.html,2,44.075698505322,145.12227201459,,,6月中旬,9月下旬,10月上旬,9月上旬,9月上旬,10月上旬,9月上旬,10月上旬
49,雲取山,2017,★,★★,1泊2日,hundred_mt_individually_data/basic_data/basic_data-049.html,11,35.855518539481,138.94393103576,,,4月上旬,12月下旬,10月下旬,10月上旬,10月上旬,10月下旬,10月上旬,10月下旬
55,五竜岳,2814,★★★,★★★,2泊3日,hundred_mt_individually_data/basic_data/basic_data-055.html,13,36.65841030159,137.75266722359,,,7月中旬,10月上旬,10月中旬,9月中旬,9月中旬,10月中旬,9月中旬,10月中旬
60,黒部五郎岳,2840,★★,★★★,3泊4日,hundred_mt_individually_data/basic_data/basic_data-060.html,13,36.392542591983,137.53991722359,,,7月中旬,10月上旬,10月中旬,9月中旬,9月中旬,10月中旬,9月中旬,10月中旬
65,常念岳,2857,★★,★★,1泊2日,hundred_mt_individually_data/basic_data/basic_data-065.html,13,36.325556787382,137.72758888496,,,7月上旬,10月上旬,9月下旬,9月上旬,9月上旬,9月下旬,9月上旬,9月下旬
70,霧ヶ峰,1925,★,★,日帰り,hundred_mt_individually_data/basic_data/basic_data-070.html,15,36.103118697218,138.19689311512,,,5月上旬,11月上旬,10月下旬,9月上旬,9月上旬,10月下旬,9月上旬,10月下旬
74,木曽駒ヶ岳,2956,★★,★★,1泊2日,hundred_mt_individually_data/basic_data/basic_data-074.html,19,35.789572104596,137.80458363891,,,6月下旬,10月下旬,10月中旬,9月中旬,9月中旬,10月中旬,9月中旬,10月中旬
79,鳳凰山,2840,★★,★★,2泊3日,hundred_mt_individually_data/basic_data/basic_data-079.html,20,35.701750800187,138.30461166803,,,5月下旬,10月下旬,10月下旬,9月中旬,9月中旬,10月下旬,9月中旬,10月下旬
27,至仏山,2228,★★,★★,1泊2日,hundred_mt_individually_data/basic_data/basic_data-027.html,5,36.90346162039,139.17323409396,,,7月上旬,10月上旬,10月中旬,9月下旬,9月下旬,10月中旬,9月下旬,10月中旬
36,谷川岳,1963,★★,★★,前夜泊日帰り,hundred_mt_individually_data/basic_data/basic_data-036.html,9,36.834516924826,138.93029214687,,,6月中旬,10月中旬,9月下旬,9月中旬,9月中旬,9月下旬,9月中旬,9月下旬
43,四阿山,2354,★★,★★,前夜泊1日,hundred_mt_individually_data/basic_data/basic_data-043.html,9,36.541650809923,138.4125032077,,,6月下旬,9月下旬,10月中旬,9月中旬,9月中旬,10月中旬,9月中旬,10月中旬
46,甲武信岳,2475,★★,★★,1泊2日,hundred_mt_individually_data/basic_data/basic_data-046.html,11,35.909164340856,138.72887298284,,,5月下旬,11月下旬,10月下旬,10月上旬,10月上旬,10月下旬,10月上旬,10月下旬
56,鹿島槍ヶ岳,2890,★★,★★★,2泊3日,hundred_mt_individually_data/basic_data/basic_data-056.html,13,36.62457309768,137.74702700931,,,7月中旬,10月上旬,10月中旬,9月中旬,9月中旬,10月中旬,9月中旬,10月中旬
66,笠ヶ岳,2897,★★,★★★,1泊2日,hundred_mt_individually_data/basic_data/basic_data-066.html,13,36.315470330888,137.55038534263,,,7月中旬,9月下旬,9月下旬,9月上旬,9月上旬,9月下旬,9月上旬,9月下旬
75,空木岳,2864,★★★,★★★,1泊2日,hundred_mt_individually_data/basic_data/basic_data-075.html,19,35.718990455512,137.8171394458,,,7月上旬,10月下旬,10月中旬,9月中旬,9月中旬,10月中旬,9月中旬,10月中旬
86,光岳,2591,★★,★★★,2泊3日,hundred_mt_individually_data/basic_data/basic_data-086.html,20,35.33819499606,138.08380333469,,,7月上旬,10月下旬,10月中旬,9月上旬,9月上旬,10月中旬,9月上旬,10月中旬
84,赤石岳,3120,★★,★★★,2泊3日,hundred_mt_individually_data/basic_data/basic_data-084.html,20,35.461243112938,138.15736521034,,,7月中旬,10月中旬,10月中旬,9月上旬,9月上旬,10月中旬,9月上旬,10月中旬
45,両神山,1723,★★,★★,日帰り,hundred_mt_individually_data/basic_data/basic_data-045.html,10,36.023389910825,138.84128083205,,,4月上旬,12月下旬,11月中旬,10月中旬,10月中旬,11月中旬,10月中旬,11月中旬
4,阿寒岳,1499,★,★,前夜泊日帰り,hundred_mt_individually_data/basic_data/basic_data-004.html,2,43.454064,144.164617,,,5月中旬,10月中旬,10月上旬,9月上旬,9月上旬,10月上旬,9月上旬,10月上旬
17,朝日連峰,1870,★★,★★★,2泊3日,hundred_mt_individually_data/basic_data/basic_data-017.html,3,38.260509440793,139.92226187172,,,6月中旬,10月中旬,10月中旬,9月中旬,9月中旬,10月中旬,9月中旬,10月中旬
